player_1,rnd_1,player_2,rnd_2,board,n_rounds,score_1,score_2
crowny-iii,0.025,crowny-iv,0.025,,5,1,0
crowny-iv,0.025,crowny-iii,0.025,,5,0,1
crowny-iii,0.025,crowny-iv,0.025,,5,0.5,0.5
crowny-iv,0.025,crowny-iii,0.025,,5,0.5,0.5
crowny-iii,0.025,crowny-iv,0.025,,5,0.5,0.5
crowny-iv,0.025,crowny-iii,0.025,,5,1,0
crowny-iii,0.025,crowny-iv,0.025,,5,1,0
crowny-iv,0.025,crowny-iii,0.025,,5,0.5,0.5
crowny-iii,0.025,crowny-iv,0.025,,5,0,1
crowny-iv,0.025,crowny-iii,0.025,,5,1,0
crowny-iii,0.025,crowny-iv,0.2,,5,0,1
crowny-iv,0.2,crowny-iii,0.025,,5,0.5,0.5
crowny-iii,0.025,crowny-iv,0.2,,5,0.5,0.5
crowny-iv,0.2,crowny-iii,0.025,,5,1,0
crowny-iii,0.025,crowny-iv,0.2,,5,0,1
crowny-iv,0.2,crowny-iii,0.025,,5,0.5,0.5
crowny-iii,0.025,crowny-iv,0.2,,5,0.5,0.5
crowny-iv,0.2,crowny-iii,0.025,,5,1,0
crowny-iii,0.025,crowny-iv,0.2,,5,0.5,0.5
crowny-iv,0.2,crowny-iii,0.025,,5,0.5,0.5
crowny-iii,0.025,crowny-iv,1.6,,5,1,0
crowny-iv,1.6,crowny-iii,0.025,,5,0.5,0.5
crowny-iii,0.025,crowny-iv,1.6,,5,1,0
crowny-iv,1.6,crowny-iii,0.025,,5,0,1
crowny-iii,0.025,crowny-iv,1.6,,5,0.5,0.5
crowny-iv,1.6,crowny-iii,0.025,,5,0.5,0.5
crowny-iii,0.025,crowny-iv,1.6,,5,0,1
crowny-iv,1.6,crowny-iii,0.025,,5,0,1
crowny-iii,0.025,crowny-iv,1.6,,5,0,1
crowny-iv,1.6,crowny-iii,0.025,,5,0.5,0.5
crowny-iii,0.025,crowny-v,0.025,,5,0,1
crowny-v,0.025,crowny-iii,0.025,,5,0.5,0.5
crowny-iii,0.025,crowny-v,0.025,,5,0,1
crowny-v,0.025,crowny-iii,0.025,,5,0,1
crowny-iii,0.025,crowny-v,0.025,,5,0.5,0.5
crowny-v,0.025,crowny-iii,0.025,,5,1,0
crowny-iii,0.025,crowny-v,0.025,,5,0,1
crowny-v,0.025,crowny-iii,0.025,,5,1,0
crowny-iii,0.025,crowny-v,0.025,,5,0,1
crowny-v,0.025,crowny-iii,0.025,,5,0,1
crowny-iii,0.025,crowny-v,0.2,,5,0.5,0.5
crowny-v,0.2,crowny-iii,0.025,,5,0.5,0.5
crowny-iii,0.025,crowny-v,0.2,,5,0,1
crowny-v,0.2,crowny-iii,0.025,,5,1,0
crowny-iii,0.025,crowny-v,0.2,,5,1,0
crowny-v,0.2,crowny-iii,0.025,,5,0.5,0.5
crowny-iii,0.025,crowny-v,0.2,,5,0.5,0.5
crowny-v,0.2,crowny-iii,0.025,,5,0,1
crowny-iii,0.025,crowny-v,0.2,,5,0.5,0.5
crowny-v,0.2,crowny-iii,0.025,,5,1,0
